Endereço;Preço;Área (m2);Quartos;Banheiros;Garagem
Rua 1124;R$ 1.929.000;157;3;4;2
Avenida T 9;R$ 2.355.217;185-265;1-5;1-5;0-2
Rua 1141;R$ 1.090.000;111;2;4;2
Rua 1124;R$ 2.190.000;157;3;4;2
Rua 1123;R$ 370.000;69;2;2;1
Rua Mário Bittar;R$ 1.099.990;135;4;4;2
Rua 1141;R$ 1.079.850;120;3;4;2
Rua 1141;R$ 1.835.000;225;4;6;3
Rua 1141;R$ 4.190.000;354;4;5;3
Rua 143-A;R$ 990.000;115;3;5;2
Rua 24;R$ 1.830.000;157;3;4;3
Rua 1141;R$ 1.095.000;111;3;2;2
Rua 145;R$ 1.060.000;130;3;5;3
Rua 1141;R$ 2.099.990;254-260;4;4-6;2-4
Rua 1128;R$ 800.000;70;2;2;1
Rua 1141;R$ 1.850.000;174-348;3-4;4-5;2-4
Rua 146;R$ 850.000;73;2;3;1
Rua 1123;R$ 690.000;61;2;2;1
Rua 1124;R$ 1.625.000;125;3;4;2
Rua 1141;R$ 4.090.000;299;3;5;4
Rua 1128;R$ 855.500;80;3;3;1
Rua Amélia Artiaga Jardim;R$ 800.000;71-133;2-3;2-3;1-2
Rua 1123;R$ 1.375.000;127;3;4;3
Rua 145;R$ 1.200.000;130;3;3;3
Rua 28;R$ 736.460;64;2;2;1
Rua 140;R$ 199.966;40;1;1;1
Rua 1123;R$ 550.000;61;2;3;1
Rua 1123;R$ 1.420.000;130;3;4;2
Rua 1138;R$ 2.300.000;194-259;3-4;3-4;3-4
Rua 38;R$ 1.350.000;129;3;4;2
Rua 146;R$ 530.000;47;1;2;1
Rua 1139;R$ 1.099.990;121;3;4;2
Rua 1124;R$ 1.600.000;125;3;2;2
Rua Amélia Artiaga Jardim;R$ 830.000;77;2;2;1
Rua 1128;R$ 842.233;71;2;2;1
Rua 1141;R$ 548.470;48-49;1;2;1
Rua 1128;R$ 1.825.000;149;3;4;3
Rua 1123;R$ 570.000;62;2;3;1
Rua 1128;R$ 852.312;81;2;2;1
Rua 1141;R$ 2.599.000;221;4;6;3
Rua 13;R$ 2.600.000;244;3;3;1
Avenida D;R$ 1.200.626;106;3;3-4;2
Rua 1141;R$ 783.990;77;3;2;1
;R$ 786.062;77;2;2;1
Rua 1128;R$ 400.000;80;3;3;1
Rua 146;R$ 1.298.251;138;3;4;2
Rua 38;R$ 1.180.000;129;3;4;2
Rua 1128;R$ 1.659.990;162-167;3;4-5;2-3
Rua 1123;R$ 380.000;69;2;2;1
Rua 15;R$ 380.000;45;1;1;1
Rua 1138;R$ 815.000;78;2;3;1
Rua 137-A;R$ 850.000;86;3;3;2
Rua 1124;R$ 1.650.000;125;3;3-4;2
;R$ 994.000;111;3;4;2
Rua 1141;R$ 703.280;71;2;3;1
Rua 140;R$ 473.000;43;1;1;1
Rua 1128;R$ 1.050.000;80;3;3;1
Rua 1128;R$ 800.000;80;3;3;1
Rua 1138;R$ 670.000;67;2;2;1
Rua 145;R$ 550.000;68;2;2;1
Rua 146;R$ 550.000;47;1;2;1
Rua 1123;R$ 550.000;49;1;1;0
Rua 1141;R$ 1.180.000;111;3;3;2
Rua 1141;R$ 1.100.000;111;3;4;2
Rua 1125;R$ 1.799.999;175;3;5;2
Rua 143;R$ 1.015.813;114;3;4;2
